Banco Alvorada S.A.
Agencia: 0412  Conta: 55.981-3  Titular: SOLARA DISTRIBUIDORA LTDA
Periodo: 20/07/2026 a 28/08/2026

Data;Historico;Valor (R$);Saldo (R$)
20/07/2026;SALDO ANTERIOR;;61.240,35
25/07/2026;PIX RECEBIDO TRANSPORTADORA ROTA MINAS NF-4810;540,00;61.780,35
27/07/2026;PIX RECEBIDO AUTOPECAS BETIM NF-4804;980,00;62.760,35
31/07/2026;PIX RECEBIDO METALURGICA ANDRADE NF-4801;2.500,00;65.260,35
01/08/2026;PIX RECEBIDO FERRAGENS CENTRAL NF-4802;1.240,00;66.500,35
02/08/2026;PIX RECEBIDO LATICINIOS SERRA VERDE NF-4805;1.480,00;67.980,35
03/08/2026;PIX RECEBIDO AUTOPECAS BETIM NF-4814;990,00;68.970,35
03/08/2026;TARIFA MANUTENCAO CONTA;-45,90;68.924,45
05/08/2026;TARIFA PIX;-1,20;68.923,25
07/08/2026;PIX RECEBIDO CONSTRUTORA HORIZONTE NF-4808;3.675,00;72.598,25
07/08/2026;PIX RECEBIDO OFICINA DO ZE NF-4835;415,00;73.013,25
10/08/2026;PIX ENVIADO FORNECEDOR ACO MINAS;-8.750,00;64.263,25
12/08/2026;PIX RECEBIDO LATICINIOS SERRA VERDE NF-4815;1.120,00;65.383,25
13/08/2026;PIX RECEBIDO METALURGICA ANDRADE;3.050,00;68.433,25
15/08/2026;PIX RECEBIDO TRANSPORTADORA ROTA MINAS NF-4830;730,00;69.163,25
15/08/2026;PIX RECEBIDO LATICINIOS SERRA VERDE NF-4815;1.120,00;70.283,25
16/08/2026;PIX RECEBIDO MOVEIS LIMA NF-4817;1.650,00;71.933,25
16/08/2026;PIX RECEBIDO CERVEJARIA ALTO CERRADO NF-4819;1.330,00;73.263,25
17/08/2026;PIX RECEBIDO USINA VALE DO ACO NF-4803;6.320,00;79.583,25
18/08/2026;PIX RECEBIDO AUTOPECAS BETIM NF-4824;1.275,00;80.858,25
19/08/2026;PIX RECEBIDO CONSTRUTORA HORIZONTE NF-4818;2.240,00;83.098,25
19/08/2026;PIX RECEBIDO CERVEJARIA ALTO CERRADO NF-4809;1.520,00;84.618,25
20/08/2026;PIX RECEBIDO METALURGICA ANDRADE NF-4821;2.450,00;87.068,25
20/08/2026;PIX RECEBIDO PREFEITURA DE BETIM - ALMOXARIFADO NF-4820;4.310,05;91.378,30
20/08/2026;PAGAMENTO FOLHA;-42.300,00;49.078,30
21/08/2026;PIX RECEBIDO MINERACAO PEDRA ALTA NF-4806;4.310,50;53.388,80
21/08/2026;PIX RECEBIDO FERRAGENS CENTRAL NF-4822;890,00;54.278,80
23/08/2026;DEPOSITO EM DINHEIRO;1.990,00;56.268,80
27/08/2026;PIX RECEBIDO USINA VALE DO ACO NF-4813;2.980,00;59.248,80
27/08/2026;PIX RECEBIDO CERVEJARIA ALTO CERRADO NF-4829;620,00;59.868,80
28/08/2026;PIX RECEBIDO MOVEIS LIMA NF-4827;1.080,00;60.948,80
29/08/2026;PIX RECEBIDO CONSTRUTORA HORIZONTE NF-4828;2.760,00;63.708,80
30/08/2026;PIX RECEBIDO METALURGICA ANDRADE NF-4831;1.560,00;65.268,80
31/08/2026;PIX RECEBIDO MINERACAO PEDRA ALTA NF-4816;5.140,00;70.408,80
01/09/2026;PIX RECEBIDO FERRAGENS CENTRAL NF-4832;2.130,00;72.538,80
01/09/2026;PIX RECEBIDO PREFEITURA DE BETIM - ALMOXARIFADO NF-4834;4.420,00;76.958,80
05/09/2026;PIX RECEBIDO USINA VALE DO ACO NF-4823;4.560,00;81.518,80
09/09/2026;PIX RECEBIDO MINERACAO PEDRA ALTA NF-4826;3.020,00;84.538,80
17/09/2026;PIX RECEBIDO USINA VALE DO ACO NF-4833;1.875,00;86.413,80
28/08/2026;SALDO FINAL;;86.413,80

Documento sem valor fiscal. Emitido em 28/08/2026 18:41
