cod_lancamento,data,descricao,valor,tipo
L001,2026-07-25,PIX RECEBIDO TRANSPORTADORA ROTA MINAS NF-4810,540.00,credito
L002,2026-07-27,PIX RECEBIDO AUTOPECAS BETIM NF-4804,980.00,credito
L003,2026-07-31,PIX RECEBIDO METALURGICA ANDRADE NF-4801,2500.00,credito
L004,2026-08-01,PIX RECEBIDO FERRAGENS CENTRAL NF-4802,1240.00,credito
L005,2026-08-02,PIX RECEBIDO LATICINIOS SERRA VERDE NF-4805,1480.00,credito
L006,2026-08-03,PIX RECEBIDO AUTOPECAS BETIM NF-4814,990.00,credito
L007,2026-08-03,TARIFA MANUTENCAO CONTA,-45.90,debito
L008,2026-08-05,TARIFA PIX,-1.20,debito
L009,2026-08-07,PIX RECEBIDO CONSTRUTORA HORIZONTE NF-4808,3675.00,credito
L010,2026-08-07,PIX RECEBIDO OFICINA DO ZE NF-4835,415.00,credito
L011,2026-08-10,PIX ENVIADO FORNECEDOR ACO MINAS,-8750.00,debito
L012,2026-08-12,PIX RECEBIDO LATICINIOS SERRA VERDE NF-4815,1120.00,credito
L013,2026-08-13,PIX RECEBIDO METALURGICA ANDRADE,3050.00,credito
L014,2026-08-15,PIX RECEBIDO TRANSPORTADORA ROTA MINAS NF-4830,730.00,credito
L015,2026-08-15,PIX RECEBIDO LATICINIOS SERRA VERDE NF-4815,1120.00,credito
L016,2026-08-16,PIX RECEBIDO MOVEIS LIMA NF-4817,1650.00,credito
L017,2026-08-16,PIX RECEBIDO CERVEJARIA ALTO CERRADO NF-4819,1330.00,credito
L018,2026-08-17,PIX RECEBIDO USINA VALE DO ACO NF-4803,6320.00,credito
L019,2026-08-18,PIX RECEBIDO AUTOPECAS BETIM NF-4824,1275.00,credito
L020,2026-08-19,PIX RECEBIDO CONSTRUTORA HORIZONTE NF-4818,2240.00,credito
L021,2026-08-19,PIX RECEBIDO CERVEJARIA ALTO CERRADO NF-4809,1520.00,credito
L022,2026-08-20,PIX RECEBIDO METALURGICA ANDRADE NF-4821,2450.00,credito
L023,2026-08-20,PIX RECEBIDO PREFEITURA DE BETIM - ALMOXARIFADO NF-4820,4310.05,credito
L024,2026-08-20,PAGAMENTO FOLHA,-42300.00,debito
L025,2026-08-21,PIX RECEBIDO MINERACAO PEDRA ALTA NF-4806,4310.50,credito
L026,2026-08-21,PIX RECEBIDO FERRAGENS CENTRAL NF-4822,890.00,credito
L027,2026-08-23,DEPOSITO EM DINHEIRO,1990.00,credito
L028,2026-08-27,PIX RECEBIDO USINA VALE DO ACO NF-4813,2980.00,credito
L029,2026-08-27,PIX RECEBIDO CERVEJARIA ALTO CERRADO NF-4829,620.00,credito
L030,2026-08-28,PIX RECEBIDO MOVEIS LIMA NF-4827,1080.00,credito
L031,2026-08-29,PIX RECEBIDO CONSTRUTORA HORIZONTE NF-4828,2760.00,credito
L032,2026-08-30,PIX RECEBIDO METALURGICA ANDRADE NF-4831,1560.00,credito
L033,2026-08-31,PIX RECEBIDO MINERACAO PEDRA ALTA NF-4816,5140.00,credito
L034,2026-09-01,PIX RECEBIDO FERRAGENS CENTRAL NF-4832,2130.00,credito
L035,2026-09-01,PIX RECEBIDO PREFEITURA DE BETIM - ALMOXARIFADO NF-4834,4420.00,credito
L036,2026-09-05,PIX RECEBIDO USINA VALE DO ACO NF-4823,4560.00,credito
L037,2026-09-09,PIX RECEBIDO MINERACAO PEDRA ALTA NF-4826,3020.00,credito
L038,2026-09-17,PIX RECEBIDO USINA VALE DO ACO NF-4833,1875.00,credito
