cod_titulo,cod_cliente,nota_fiscal,valor,emissao,vencimento,status
T0001,C001,NF-4801,2850.00,2026-07-02,2026-07-30,aberto
T0002,C003,NF-4802,1240.00,2026-07-02,2026-08-01,aberto
T0003,C004,NF-4803,6320.00,2026-07-04,2026-08-18,aberto
T0004,C006,NF-4804,980.00,2026-07-06,2026-07-27,aberto
T0005,C007,NF-4805,1480.00,2026-07-05,2026-08-02,aberto
T0006,C008,NF-4806,4310.50,2026-07-06,2026-08-20,aberto
T0007,C010,NF-4807,2100.00,2026-07-09,2026-08-08,aberto
T0008,C005,NF-4808,3675.00,2026-07-08,2026-08-07,aberto
T0009,C012,NF-4809,760.00,2026-07-10,2026-08-07,aberto
T0010,C009,NF-4810,540.00,2026-07-12,2026-07-26,aberto
T0011,C001,NF-4811,1200.00,2026-07-11,2026-08-08,aberto
T0012,C003,NF-4812,1850.00,2026-07-14,2026-08-13,aberto
T0013,C004,NF-4813,2980.00,2026-07-13,2026-08-27,aberto
T0014,C006,NF-4814,990.00,2026-07-14,2026-08-04,aberto
T0015,C007,NF-4815,1120.00,2026-07-15,2026-08-12,aberto
T0016,C008,NF-4816,5140.00,2026-07-17,2026-08-31,aberto
T0017,C010,NF-4817,1650.00,2026-07-18,2026-08-17,aberto
T0018,C005,NF-4818,2240.00,2026-07-18,2026-08-17,aberto
T0019,C012,NF-4819,1330.00,2026-07-19,2026-08-16,aberto
T0020,C011,NF-4820,3880.00,2026-07-20,2026-08-19,aberto
T0021,C001,NF-4821,2450.00,2026-07-23,2026-08-20,aberto
T0022,C003,NF-4822,890.00,2026-07-23,2026-08-22,aberto
T0023,C004,NF-4823,4560.00,2026-07-23,2026-09-06,aberto
T0024,C006,NF-4824,1275.00,2026-07-26,2026-08-16,aberto
T0025,C007,NF-4825,1990.00,2026-07-25,2026-08-22,aberto
T0026,C008,NF-4826,3020.00,2026-07-26,2026-09-09,aberto
T0027,C010,NF-4827,1080.00,2026-07-29,2026-08-28,aberto
T0028,C005,NF-4828,2760.00,2026-07-30,2026-08-29,aberto
T0029,C012,NF-4829,620.00,2026-07-31,2026-08-28,aberto
T0030,C009,NF-4830,730.00,2026-07-30,2026-08-13,aberto
T0031,C001,NF-4831,1560.00,2026-08-02,2026-08-30,aberto
T0032,C003,NF-4832,2130.00,2026-08-03,2026-09-02,aberto
T0033,C004,NF-4833,1875.00,2026-08-03,2026-09-17,aberto
T0034,C011,NF-4834,4420.00,2026-08-03,2026-09-02,aberto
T0035,C002,NF-4835,415.00,2026-08-04,2026-08-07,aberto
